pid,day,date,session,titleID,sessionStart,duration,sessionEnd,genre,platform
10,17,2024-05-17,1,Animal Crossing New Horizons,2024-05-17T02:33:18Z,38.2,2024-05-17T03:11:18Z,"Sport, Strategy, MOBA",Nintendo
10,17,2024-05-17,2,Splatoon 2,2024-05-17T17:38:18Z,4.3,2024-05-17T17:42:18Z,"Puzzle, Racing",Nintendo
10,17,2024-05-17,3,Animal Crossing New Horizons,2024-05-17T03:00:54Z,77.3,2024-05-17T04:17:54Z,MOBA,Nintendo
10,31,2024-05-31,1,Pokemon Cafe ReMix,2024-05-31T07:03:05Z,4.1,2024-05-31T07:07:05Z,"Visual Novel, Tactical",Nintendo
100,1,2024-05-01,1,Metroid Prime Remastered,2024-05-01T17:36:57Z,52.9,2024-05-01T18:28:57Z,Real Time Strategy (RTS),Nintendo
100,3,2024-05-03,1,Nintendo Entertainment System Nintendo Switch Online,2024-05-03T01:30:49Z,32.7,2024-05-03T02:02:49Z,Real Time Strategy (RTS),Nintendo
100,9,2024-05-09,1,The Legend of Zelda Tears of the Kingdom,2024-05-09T10:48:58Z,11.3,2024-05-09T10:59:58Z,MOBA,Nintendo
100,15,2024-05-15,1,The Legend of Zelda Breath of the Wild,2024-05-15T20:54:07Z,101.3,2024-05-15T22:35:07Z,"MOBA, Arcade, Adventure",Nintendo
100,15,2024-05-15,2,Nintendo Switch Sports,2024-05-15T22:24:07Z,74.8,2024-05-15T23:38:07Z,Shooter,Nintendo
100,21,2024-05-21,1,Splatoon 3,2024-05-21T04:39:41Z,9.7,2024-05-21T04:48:41Z,"Puzzle, Fighting, Simulator",Nintendo
100,21,2024-05-21,2,The Legend of Zelda Breath of the Wild,2024-05-21T05:08:33Z,17.2,2024-05-21T05:25:33Z,Strategy,Nintendo
100,27,2024-05-27,1,Super Mario 3D All Stars,2024-05-27T07:07:14Z,61.4,2024-05-27T08:08:14Z,"Visual Novel, Platform, Role-playing (RPG)",Nintendo
100,27,2024-05-27,2,The Legend of Zelda Tears of the Kingdom,2024-05-27T15:00:37Z,53.2,2024-05-27T15:53:37Z,"Strategy, Card & Board Game",Nintendo
100,29,2024-05-29,1,Pokemon Sword / Shield,2024-05-29T08:21:18Z,63.6,2024-05-29T09:24:18Z,Racing,Nintendo
100,32,2024-06-01,1,The Legend of Zelda Tears of the Kingdom,2024-06-01T16:12:03Z,21.5,2024-06-01T16:33:03Z,MOBA,Nintendo
100,39,2024-06-08,1,The Legend of Zelda Tears of the Kingdom,2024-06-08T22:33:48Z,48.7,2024-06-08T23:21:48Z,"Platform, Arcade",Nintendo
100,39,2024-06-08,2,Nintendo Entertainment System Nintendo Switch Online,2024-06-08T11:53:38Z,11.7,2024-06-08T12:04:38Z,Music,Nintendo
100,39,2024-06-08,3,The Legend of Zelda Tears of the Kingdom,2024-06-08T18:25:22Z,68.8,2024-06-08T19:33:22Z,"Card & Board Game, Real Time Strategy (RTS)",Nintendo
100,40,2024-06-09,1,Pokemon Sword / Shield,2024-06-09T06:01:31Z,7.2,2024-06-09T06:08:31Z,Fighting,Nintendo
100,53,2024-06-22,1,Pokemon Scarlet / Violet,2024-06-22T22:30:18Z,13.1,2024-06-22T22:43:18Z,Visual Novel,Nintendo
100,53,2024-06-22,2,Super Mario 3D All Stars,2024-06-22T20:04:54Z,14.4,2024-06-22T20:18:54Z,"Music, Arcade",Nintendo
100,56,2024-06-25,1,Super Smash Bros Ultimate,2024-06-25T05:32:08Z,84.3,2024-06-25T06:56:08Z,"Turn-based strategy (TBS), Adventure, Music",Nintendo
100,56,2024-06-25,2,Game Boy Advance Nintendo Switch Online,2024-06-25T12:26:03Z,15.7,2024-06-25T12:41:03Z,Shooter,Nintendo
100,56,2024-06-25,3,Pokemon Legends Arceus,2024-06-25T13:42:50Z,122.7,2024-06-25T15:44:50Z,Hack and slash/Beat 'em up,Nintendo
100,60,2024-06-29,1,Fire Emblem Engage,2024-06-29T04:11:04Z,5.2,2024-06-29T04:16:04Z,"Adventure, Platform, Strategy",Nintendo
100,60,2024-06-29,2,The Legend of Zelda Tears of the Kingdom,2024-06-29T13:26:55Z,322,2024-06-29T18:48:55Z,"Card & Board Game, Arcade",Nintendo
100,69,2024-07-08,1,The Legend of Zelda Tears of the Kingdom,2024-07-08T03:04:21Z,9.2,2024-07-08T03:13:21Z,"Sport, Fighting, Shooter",Nintendo
100,69,2024-07-08,2,Xenoblade Chronicles 3,2024-07-08T05:52:22Z,127.8,2024-07-08T07:59:22Z,"Arcade, Real Time Strategy (RTS), Fighting",Nintendo
100,74,2024-07-13,1,Splatoon 3,2024-07-13T13:14:08Z,15.8,2024-07-13T13:29:08Z,"Sport, Visual Novel",Nintendo
100,75,2024-07-14,1,Pikmin 2,2024-07-14T16:55:38Z,229.6,2024-07-14T20:44:38Z,Role-playing (RPG),Nintendo
100,75,2024-07-14,2,Splatoon 3,2024-07-14T17:21:36Z,3.4,2024-07-14T17:24:36Z,"Shooter, Puzzle, Simulator",Nintendo
100,76,2024-07-15,1,Pokemon Scarlet / Violet,2024-07-15T16:57:47Z,5.6,2024-07-15T17:02:47Z,"Turn-based strategy (TBS), Arcade, Sport",Nintendo
1002,46,2024-06-15,1,Mario Kart 8 Deluxe,2024-06-15T12:35:58Z,55.8,2024-06-15T13:30:58Z,Turn-based strategy (TBS),Nintendo
1002,74,2024-07-13,1,Mario Kart 8 Deluxe,2024-07-13T08:30:06Z,87,2024-07-13T09:57:06Z,"Shooter, Music",Nintendo
1002,77,2024-07-16,1,Pokemon UNITE,2024-07-16T14:19:11Z,18,2024-07-16T14:37:11Z,"Role-playing (RPG), Puzzle",Nintendo
1003,33,2024-06-02,1,The Legend of Zelda Breath of the Wild,2024-06-02T19:39:04Z,20.6,2024-06-02T19:59:04Z,Turn-based strategy (TBS),Nintendo
1005,3,2024-05-03,1,Mario Kart 8 Deluxe,2024-05-03T02:46:53Z,256.3,2024-05-03T07:02:53Z,"Shooter, Turn-based strategy (TBS), Simulator",Nintendo
1005,12,2024-05-12,1,New Pokemon Snap,2024-05-12T11:19:56Z,33.8,2024-05-12T11:52:56Z,Hack and slash/Beat 'em up,Nintendo
1005,13,2024-05-13,1,Fire Emblem Warriors Three Hopes (Demo),2024-05-13T15:13:31Z,60.1,2024-05-13T16:13:31Z,"Role-playing (RPG), Hack and slash/Beat 'em up",Nintendo
1005,20,2024-05-20,1,Splatoon 3,2024-05-20T00:24:33Z,20.3,2024-05-20T00:44:33Z,"Fighting, Shooter",Nintendo
1005,20,2024-05-20,2,Mario Party Superstars,2024-05-20T04:52:49Z,60.7,2024-05-20T05:52:49Z,"Adventure, Tactical",Nintendo
1005,22,2024-05-22,1,Animal Crossing New Horizons,2024-05-22T13:12:49Z,166.1,2024-05-22T15:58:49Z,"Turn-based strategy (TBS), Strategy, Real Time Strategy (RTS)",Nintendo
1005,24,2024-05-24,1,The Legend of Zelda Tears of the Kingdom,2024-05-24T14:50:08Z,120.5,2024-05-24T16:50:08Z,Puzzle,Nintendo
1005,25,2024-05-25,1,The Legend of Zelda Tears of the Kingdom,2024-05-25T13:46:30Z,32.5,2024-05-25T14:18:30Z,"Puzzle, Simulator",Nintendo
1005,30,2024-05-30,1,New Super Mario Bros U Deluxe,2024-05-30T13:59:57Z,134.3,2024-05-30T16:13:57Z,"Music, Adventure",Nintendo
1005,41,2024-06-10,1,The Legend of Zelda Tears of the Kingdom,2024-06-10T23:11:00Z,26,2024-06-10T23:37:00Z,"Tactical, Hack and slash/Beat 'em up, Arcade",Nintendo
1005,41,2024-06-10,2,Pokemon UNITE,2024-06-10T11:44:47Z,57.4,2024-06-10T12:41:47Z,"Sport, Hack and slash/Beat 'em up",Nintendo
