pid,week,date,missing,dropout,Entertainment,Social,Information & Reading,Games,Productivity & Finance,Travel,Other,Creativity,Education,Health & Fitness,Shopping & Food,Utilities,totalScreentime,platform
1,1,2024-05-01,FALSE,FALSE,0,3.8730117713501984,2.0640569717646775,2.5562792360961617,5.028568276249583,4.29513153078914,3.105829931138241,2.657213961070685,3.5425212577137275,4.783550323489184,0,2.8956759041258566,34.801839163787456,iOS
1,2,2024-05-08,FALSE,FALSE,5.729259552003407,0,1.0929346985291128,6.762720846330805,0,4.403939089577574,0,3.0750600469560108,1.029856796023586,2.4794736131716646,0,0,24.57324464259216,iOS
1,3,2024-05-15,FALSE,FALSE,2.4548013991144817,0,0,2.6807825095914324,0,1.9020418443790006,3.6842185720369103,4.212690809322967,4.2429777693648365,0,5.011209129168913,0,24.18872203297854,iOS
1,4,2024-05-22,FALSE,FALSE,1.963665351366837,7.76820986244181,0,1.5841977340818583,0,6.966321690262119,1.3780067188644596,1.5049543652008763,1.205496591992568,0,0,1.1620840543471762,23.532936368557703,iOS
1,5,2024-05-29,FALSE,FALSE,1.787259270962681,2.1928147967661196,0,1.3745276582304369,0,2.446625339737384,5.8168038687627925,0,0,1.950223191728734,2.1879829852453314,0,17.756237111433478,iOS
1,6,2024-06-05,FALSE,FALSE,1.2000594376466032,2.781677507618524,3.2646642560143992,3.431188424344467,0,2.0281037400811592,4.25794153524617,3.9016186065385035,1.7772735779378617,1.9091624109524914,2.279215056388126,0.19894624045405532,27.02985079322236,iOS
1,7,2024-06-12,FALSE,FALSE,0,3.0922411685110003,4.785030789495728,0,2.242761063499427,4.008782356941625,2.034367925400518,0,0,4.134756285392481,1.7071939142036907,0,22.00513350344447,iOS
1,8,2024-06-19,FALSE,FALSE,2.0370269817145434,1.2753538593339384,0.2684788920337076,1.1619328133310853,0,0,0,0,0,0,7.506648776080976,0,12.24944132249425,iOS
1,9,2024-06-26,FALSE,FALSE,1.6019525691585108,3.934907870141698,5.670639093687267,0,1.8270239079427728,0,1.8405669923397934,0,0.5461885889637041,2.931964809145803,1.2604033969667283,2.868764313790287,22.482411542136564,iOS
1,10,2024-07-03,FALSE,FALSE,4.604151718888385,0,7.187990047870541,0,3.927356464421624,1.0500214390245068,1.5885547953785322,0,5.751297317437919,6.365222107480376,0,2.1554798730155085,32.630073763517395,iOS
1,11,2024-07-10,FALSE,FALSE,0,3.0188115628484193,2.234725602140383,0,0.9830812063451762,6.676266647753846,1.3186845690939537,0.9469078057351451,0,1.562580408310157,0.7933162819552698,0,17.53437408418235,iOS
1,12,2024-07-17,FALSE,FALSE,0.4866746438742605,2.1128987508946,3.6645562085777272,0,3.1217686386280197,3.086512470386885,0,0,0,4.575877881539782,0,2.0685661029317544,19.116854696833027,iOS
2,1,2024-05-01,FALSE,FALSE,4.505092573456439,0,0,0,2.307614654932896,0,2.8951528880275634,0,2.480947324137014,1.500661590941085,5.3903121557487665,2.9957388032132686,22.075519990457035,iOS
2,2,2024-05-08,FALSE,FALSE,0,2.0911682641277864,2.024985574049712,3.825003097093313,0,0,1.228232134805008,1.8028193377937758,1.837604741837613,0,2.0859282905409664,0,14.895741440248175,iOS
2,3,2024-05-15,FALSE,FALSE,0,2.9512036514609195,2.8289507915000742,5.137093309170557,3.6432741604757943,2.305395976283732,0,0,1.7113199517893798,2.737361768519046,0,0,21.314599609199504,iOS
2,4,2024-05-22,FALSE,FALSE,0,1.7710425902806461,3.1215392861447104,0,2.5078012265719667,3.1138829276749718,0,0,0,3.4961684887212776,3.024937585338427,2.261451313516326,19.296823418248326,iOS
2,5,2024-05-29,FALSE,FALSE,4.193707437106874,0,1.4982131103181546,1.1329103552404185,3.863210240460729,0,0,0,3.192202914417354,0.8830573613986924,1.4252591366498968,0,16.18856055559212,iOS
2,6,2024-06-05,FALSE,FALSE,0,3.8886138347702204,1.255011610575785,0,0,1.2497908239040412,0,4.431531729891392,0,0.8984038204096595,0,1.6646646358150272,13.388016455366127,iOS
2,7,2024-06-12,FALSE,FALSE,0,1.3719772628781033,0,2.800729404930909,5.4352667807337,0,2.5042376634795716,2.044447905977301,1.9158236093991867,3.2607432175346194,0.9029953170809917,2.0238846291947046,22.260105791209085,iOS
2,8,2024-06-19,FALSE,FALSE,0,4.2075920770995685,5.435795961753488,0,0,0,0,0,3.0852165736493427,2.40134575139908,1.1011421433029314,3.293880515347192,19.5249730225516,iOS
2,9,2024-06-26,FALSE,FALSE,1.781772527732661,5.73686822265004,0,0,0,4.236561921672116,7.622811291315683,0,0,5.256846947953136,1.775742656440229,2.5435883075753583,28.954191875339223,iOS
2,10,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iOS
2,11,2024-07-10,FALSE,FALSE,0,0,2.6155115030096736,0,0,0.6508817501412161,0,0,0,0,5.598984083305484,4.390137142783451,13.255514479239825,iOS
2,12,2024-07-17,FALSE,FALSE,0,0,4.029687542729001,0,2.4716440947835334,0.9081236828339424,0,4.905582138947673,1.6633935615088868,0,0,0,13.978431020803036,iOS
3,1,2024-05-01,FALSE,FALSE,1.3105055802178887,1.873875908549407,3.7720706720561905,2.5121564863023127,0,0,0,0,5.063061140124615,2.5396432550736954,4.734501595175461,2.2858529478441,24.09166758534367,iOS
3,2,2024-05-08,FALSE,FALSE,0.6868658165924098,0,0,2.5100240964497433,0,2.8121507468301816,8.524470949310942,0,1.6898610239681504,1.320492741776468,5.678991768145332,4.190135274623677,27.412992417696906,iOS
3,3,2024-05-15,FALSE,FALSE,0,4.653464373908819,6.21958353518252,1.1167167574146037,2.4636890255900856,0,0,0,1.2244200883519303,0,0,0.20871929865531785,15.886593079103276,iOS
3,4,2024-05-22,FALSE,FALSE,0,3.3565917139553045,4.698082962769034,0,2.228236668331787,4.5440851877857495,2.7228611048069324,0.3536222353035572,0.68224308612926865,0,1.355223444699403,2.949924674070037,22.89087107785107,iOS
3,5,2024-05-29,FALSE,FALSE,0,0,0,0,0,4.159894527379406,5.216245944255933,2.8708170693027313,3.6782756051791545,5.554807051593309,1.6414741059695568,3.59218786461251,26.7137021682926,iOS
3,6,2024-06-05,FALSE,FALSE,0.5065522963004457,0,0,2.923747439624331,0.6764450584331557,3.194370793458818,1.3377723984393128,0,3.054080421794191,2.3736415471509256,1.0699064082298029,4.138189843639656,19.27470620707064,iOS
3,7,2024-06-12,FALSE,FALSE,4.867678234969285,2.3499693976448355,3.7263950692055117,0,2.117223951278863,4.152267481100113,0,0.7921562810890044,0,1.3599126330328717,0,2.887082979385515,22.252686027705998,iOS
3,8,2024-06-19,FALSE,FALSE,0.8476372879519246,1.5778855316453404,1.9517538836634407,0,2.5720081397945433,5.093613849857952,0,0,6.535311583346961,0,3.0444462381763677,2.802075157533045,24.424731671969575,iOS
3,9,2024-06-26,FALSE,FALSE,2.686646192970582,0,0,2.461383545995956,0,1.1636038236568487,1.787769347335408,1.5328748168700914,0,2.4829210437922753,0,4.921013393152851,17.03621216377401,iOS
3,10,2024-07-03,FALSE,FALSE,1.0148543155450485,0.616981343330201,5.06810894224493,2.8088644202928235,4.886378156140014,0,3.385384500289756,0.9773339232865831,10.411737868218886,0,5.7224878082373145,1.410005652546943,36.302136930132505,iOS
3,11,2024-07-10,FALSE,FALSE,0,4.126606332556545,2.4093276162144917,0,1.8783153906693322,2.8796365960159878,5.81112746740857,2.2597757702766446,2.2007819254328322,2.370717945322366,0,0,23.936289043896767,iOS
3,12,2024-07-17,FALSE,FALSE,1.2916982470697247,4.257412239020346,0.501857038561496,0,2.1948799495301112,1.4004408122118888,5.5349969898409475,7.164617813491892,2.6370689673921883,0,0,0,24.982972057118594,iOS
6,1,2024-05-01,FALSE,FALSE,0,2.87165746509552,4.792449950484433,1.6629488132737602,0,2.295761712106998,0,0,0,0.6065917149572992,1.8416905557836538,0,14.071100211701662,iOS
